################################################################
# Test IOC						       #
# Last updated: 2023-FEB-17                                    #
################################################################
#
# IOC,IOCType,ThreatActor
02d605b7e07b9026104d8160602b0142,MD5_IOCs,Ransomware-ESXiArgs
1338724baec048f600ed982ad811ecf0,MD5_IOCs,Ransomware-ESXiArgs
16696fa8c9700b2b12ca309747eecd70,MD5_IOCs,Ransomware-ESXiArgs
2507f1f264785d0296a59eca3d142acb,MD5_IOCs,Ransomware-ESXiArgs
393586ca999b6d5762161ee2fa93539d,MD5_IOCs,Ransomware-ESXiArgs
405ce3c84ebe44697c97e17cbc6441d8,MD5_IOCs,Ransomware-ESXiArgs
4b685bd75281e7d4fd5d5c6ea517f7b4,MD5_IOCs,Ransomware-ESXiArgs
4c77aeb0a3a246ec1411162c04f32186,MD5_IOCs,Ransomware-ESXiArgs
5c8fa1b03520d6d60bcdc8dfa194f502,MD5_IOCs,Ransomware-ESXiArgs
5ecdc9b194acd955e1635515ea426049,MD5_IOCs,Ransomware-ESXiArgs
5fee65128fba571f0e7dbe541dedf4ed,MD5_IOCs,Ransomware-ESXiArgs
64796c7c87d04821adbed23b10df1561,MD5_IOCs,Ransomware-ESXiArgs
67c8b4f7e6e79f9747e38163ad69a3fb,MD5_IOCs,Ransomware-ESXiArgs
87b010bc90cd7dd776fb42ea5b3f85d3,MD5_IOCs,Ransomware-ESXiArgs
acb2d844a66bab21d14c4c9271f05bbe,MD5_IOCs,Ransomware-ESXiArgs
b8b8a4df0f3efef626e9269a0ff9c601,MD5_IOCs,Ransomware-ESXiArgs
bcd9b69155de71efd01c006fdd95afcc,MD5_IOCs,Ransomware-ESXiArgs
c79f53d3ae73c80160308d2103bf0078,MD5_IOCs,Ransomware-ESXiArgs
c97293c4d10331f9bc47b041c8ce4e0e,MD5_IOCs,Ransomware-ESXiArgs
d0d36f169f1458806053aae482af5010,MD5_IOCs,Ransomware-ESXiArgs
dad09c88c690a575b7de1056d7db718e,MD5_IOCs,Ransomware-ESXiArgs
df1921871117dc84e9d1faf361656a83,MD5_IOCs,Ransomware-ESXiArgs
f870fb5f704de5eac332e8511143ff8d,MD5_IOCs,Ransomware-ESXiArgs
fa86f42828cf3aca3d6cc5a9242b2036,MD5_IOCs,Ransomware-ESXiArgs
09c028944c8d8059f4f7455f28cfce39f56b6c39,SHA1_IOCs,Ransomware-ESXiArgs
34c72eb6f87e98f2bc6c9524e2df35bb5a8daf6f,SHA1_IOCs,Ransomware-ESXiArgs
3c039fbf5215da7c2f3be18831da7a35a8f168b6,SHA1_IOCs,Ransomware-ESXiArgs
423986528696bfa8fad53b1bf98293b870434026,SHA1_IOCs,Ransomware-ESXiArgs
4cfe21639c42e82ea97982c50b5e4f6788633a89,SHA1_IOCs,Ransomware-ESXiArgs
4fd5e3814e4ae525fa793df8967918d5d156e492,SHA1_IOCs,Ransomware-ESXiArgs
55d98677d9f8862732afdb7ccd93e40c58bc269c,SHA1_IOCs,Ransomware-ESXiArgs
5dadd4a4de48de8d938a2116bc1cef4261ccb1a6,SHA1_IOCs,Ransomware-ESXiArgs
6598b055a9d1517d373f6f62d01c47df1de21ff8,SHA1_IOCs,Ransomware-ESXiArgs
737c0d37815c7c22b036c1edba100a95a67ae671,SHA1_IOCs,Ransomware-ESXiArgs
7cbf6cb53214f11904e63bb7493999a3b2e88b62,SHA1_IOCs,Ransomware-ESXiArgs
84711e1b9c8902ac03c49f8a3e4c9dda6878f6a9,SHA1_IOCs,Ransomware-ESXiArgs
849c5d2305dbd5e085dd3d5f2b8507bba2edb9e6,SHA1_IOCs,Ransomware-ESXiArgs
84d614acc666abb6f95cfc3e432a2ee07faccb69,SHA1_IOCs,Ransomware-ESXiArgs
9bef8354e5894afeb162ea252def3ca96589b30b,SHA1_IOCs,Ransomware-ESXiArgs
9e1a2794fa2b4c26379edfa7389f113c8807c67a,SHA1_IOCs,Ransomware-ESXiArgs
a6dc882f68068e1a5eb82cb1a721341f835ef93c,SHA1_IOCs,Ransomware-ESXiArgs
abad9e1cab0b661c1b5c9f9436a5f1b5af59da46,SHA1_IOCs,Ransomware-ESXiArgs
b59a41939042155ced4ad103dfadca5dd25e3389,SHA1_IOCs,Ransomware-ESXiArgs
b5d6c323155e0e0023c0f380a20a43f88e3b0e92,SHA1_IOCs,Ransomware-ESXiArgs
d28e2bbb5b5a479086c5c29c897fb58d5be0530c,SHA1_IOCs,Ransomware-ESXiArgs
e4a63c6ac44919bb859fb6e626cf38d699bc0ef4,SHA1_IOCs,Ransomware-ESXiArgs
e603944aceb5c0885a8627de12f36b159bbf2f05,SHA1_IOCs,Ransomware-ESXiArgs
f25846f8cda8b0460e1db02ba6d3836ad3721f62,SHA1_IOCs,Ransomware-ESXiArgs
0f043b90f6fa68551221ec560068aac4abb90749ca42a63dd62664e483940ec3,SHA256_IOCs,Ransomware-ESXiArgs
10c3b6b03a9bf105d264a8e7f30dcab0a6c59a414529b0af0a6bd9f1d2984459,SHA256_IOCs,Ransomware-ESXiArgs
11b1b2375d9d840912cfd1f0d0d04d93ed0cddb0ae4ddb550a5b62cd044d6b66,SHA256_IOCs,Ransomware-ESXiArgs
185182f369edcb96118a91dcad39eb5b63239112ed6963a8c274178bf1b55394,SHA256_IOCs,Ransomware-ESXiArgs
24df9651a38ab5328d59ab1c448a98afb3df8209b8877bbde63d49308e0d8c68,SHA256_IOCs,Ransomware-ESXiArgs
2c0273394cda1b07680913edd70d3438a098bb4468f16eebf2f50d060cdf4e96,SHA256_IOCs,Ransomware-ESXiArgs
31d03d305354eb92f3ea0420b0f674bf6414422b24bb717ec28dfacdc2647a1d,SHA256_IOCs,Ransomware-ESXiArgs
3b86fb030c0d1b440307b8d2ca7bbe2590d58e5a28118985e9774990a1c74d21,SHA256_IOCs,Ransomware-ESXiArgs
5a9448964178a7ad3e8ac509c06762e418280c864c1d3c2c4230422df2c66722,SHA256_IOCs,Ransomware-ESXiArgs
723d804cfc334cad788f86c39c7fb58b42f452a72191f7f39400cf05d980b4f3,SHA256_IOCs,Ransomware-ESXiArgs
7f0ea6e4d18ac0c1051e7366c367b01c08e75afd17fc20df301c5b95373eb34f,SHA256_IOCs,Ransomware-ESXiArgs
8c4926dd32204b6a666b274a78ccfb16fe84bbd7d6bc218a5310970c4c5d9450,SHA256_IOCs,Ransomware-ESXiArgs
978940d9785d3ade9f1c9b13ce35d67af2f47091740c2a4a5978e512543e6d76,SHA256_IOCs,Ransomware-ESXiArgs
9ea31ef8ee5abaae8752f1db783431cbb9e691a457ae2cfe648210adeefb8eff,SHA256_IOCs,Ransomware-ESXiArgs
a0a5a12f4781433ef3c0abd89186bd987f5d02c4e643803d92ff0413852d2486,SHA256_IOCs,Ransomware-ESXiArgs
a2047deac9bb8af7107e35b6e3c8617bec01dd9121a76f4fbca1fa8c760ba40e,SHA256_IOCs,Ransomware-ESXiArgs
a6e97bdbd841c9ac8bdad6145cbe65f38a31d74eb9c00346bb5b3a005508b544,SHA256_IOCs,Ransomware-ESXiArgs
a857fbb06f493cd63f2c8128038bf78d1467295e89be0c9848edd8a2dd8b44e8,SHA256_IOCs,Ransomware-ESXiArgs
aa2521bf540a4070ebf4ad340051d4df1b9608eff22e0110a0a49e1289cdbf03,SHA256_IOCs,Ransomware-ESXiArgs
b8791cc1ec61e61b59cb8c251b49c644a597025fe1d1195e960212980822a93d,SHA256_IOCs,Ransomware-ESXiArgs
ee2c8909089f53aafc421d9853c01856b0a9015eba12aa0382e98417d28aef3f,SHA256_IOCs,Ransomware-ESXiArgs
f3645c8b04fe683ade9b5a46db8af6428c15e94730a25f05bf2378a4b28ad065,SHA256_IOCs,Ransomware-ESXiArgs
f97ee203a3dd08ac38d16295dbf9cb0c7476690ba03a05afefed34d7e8cfd44e,SHA256_IOCs,Ransomware-ESXiArgs
fee0935cec808fe27112cf3c40e91d4702872f43064e9e9f71f9f1e6a8894eaf,SHA256_IOCs,Ransomware-ESXiArgs
178.63.65.51,IP_IOCs,Ransomware-ESXiArgs
194.5.97.17,IP_IOCs,Ransomware-ESXiArgs
217.12.206.116,IP_IOCs,Ransomware-ESXiArgs
45.134.83.29,IP_IOCs,Ransomware-ESXiArgs
70.73.239.101,IP,JSHome
ponzix.net,DNS_IOCs,Ransomware-ESXiArg
screenshot.icu,DNS_IOCs,Ransomware-ESXiArg
screenshotcap.com,DNS_IOCs,Ransomware-ESXiArg
screenshotlite.com,DNS_IOCs,Ransomware-ESXiArg
xn--screnshot-iib.net,DNS_IOCs,Ransomware-ESXiArg
